Region,Regional code,1985,1990,1995,2000,2005,2010
Chiyoda-ku,13101,"4,383.10","3,388.20","2,988.00","3,095.80","3,589.20","4,047.70"
Chuo-ku,13102,"7,957.50","6,703.50","6,297.80","7,145.40","9,694.50","12,059.10"
Minato-ku,13103,"9,734.40","7,815.50","7,133.70","7,836.70","9,137.70","10,085.10"
Shinjuku-ku,13104,"18,443.60","16,280.30","15,307.10","15,728.30","16,769.90","17,899.60"
Bunkyo-ku,13105,"17,122.00","16,027.30","15,249.70","15,563.00","16,766.80","18,269.30"
Taito-ku,13106,"17,680.40","16,167.60","15,269.60","15,508.40","16,387.50","17,453.20"
Sumida-ku,13107,"16,641.50","16,214.10","15,685.90","15,707.60","16,812.60","18,007.70"
Koto-ku,13108,"10,542.90","9,850.60","9,326.60","9,554.80","10,657.00","11,537.80"
Shinagawa-ku,13109,"17,108.20","15,187.80","14,340.10","14,287.30","15,244.60","16,078.40"
Meguro-ku,13110,"18,679.10","17,089.90","16,537.40","17,016.30","17,963.50","18,253.70"
Ota-ku,13111,"13,411.90","11,510.30","10,700.90","10,937.30","11,195.30","11,661.20"
Setagaya-ku,13112,"13,795.30","13,585.60","13,448.80","14,030.70","14,482.90","15,102.20"
Shibuya-ku,13113,"16,045.10","13,608.50","12,473.30","13,016.70","13,456.90","13,533.60"
Nakano-ku,13114,"21,356.40","20,505.90","19,665.20","19,854.10","19,924.80","20,189.20"
Suginami-ku,13115,"16,095.50","15,563.90","15,161.80","15,346.90","15,537.50","16,154.30"
Toshima-ku,13116,"21,403.20","20,128.40","18,927.90","19,140.40","19,261.00","21,881.50"
Kita-ku,13117,"17,887.10","17,224.20","16,227.60","15,870.00","16,047.20","16,296.50"
Arakawa-ku,13118,"18,381.10","18,118.50","17,341.80","17,692.90","18,745.80","19,931.00"
Itabashi-ku,13119,"15,848.20","16,131.30","15,897.30","15,964.40","16,260.00","16,656.00"
Nerima-ku,13120,"12,508.20","12,846.00","13,200.70","13,665.50","14,375.80","14,869.70"
Adachi-ku,13121,"11,692.80","11,875.10","11,696.80","11,600.10","11,744.50","12,846.40"
Katsushika-ku,13122,"12,360.40","12,210.40","12,201.10","12,116.10","12,212.60","12,721.60"
Edogawa-ku,13123,"10,667.50","11,375.70","11,845.10","12,458.90","13,142.00","13,644.80"
