Region,Regional code,1980,1985,1990,1995,2000,2005,2010
Chiyoda-ku,13101,26.7,28.4,31.7,32.2,32.8,37.8,36.1
Chuo-ku,13102,23,26.2,30.3,33.4,38.5,46.6,46.2
Minato-ku,13103,39.5,40.2,41.6,42.8,42.4,44.1,39.4
Shinjuku-ku,13104,46.1,46.9,48.2,47.5,48.2,51.3,44.7
Bunkyo-ku,13105,51.3,54.1,56.7,57.1,57.9,61,56.9
Taito-ku,13106,27.2,30.5,33.5,35.8,38.7,44.5,42.8
Sumida-ku,13107,33.8,38.2,43,45.2,47.7,53.2,51
Koto-ku,13108,44.5,50.3,52.7,52.5,54.4,57.8,55.1
Shinagawa-ku,13109,50.1,53,53.3,54.4,53.8,56.8,52.4
Meguro-ku,13110,61.9,64,64.8,64.1,63.8,64.6,55.8
Ota-ku,13111,41.2,43.1,45.3,46.2,46.4,48.6,47.2
Setagaya-ku,13112,60.8,63.3,64.8,63.4,61.3,62.2,53.8
Shibuya-ku,13113,55.8,56.5,57.3,55.1,54.3,55.5,48.5
Nakano-ku,13114,64.4,66.3,68.2,67.1,60.1,68.3,59.6
Suginami-ku,13115,65.3,66.8,68.3,66.5,65.2,65.8,61.6
Toshima-ku,13116,53.5,55.1,57.1,56.5,55.7,58.5,49.5
Kita-ku,13117,56,58,60.5,60.4,60.2,62.2,58.4
Arakawa-ku,13118,42.5,46.5,50.4,51.8,52.5,57.1,54.6
Itabashi-ku,13119,48.5,51,54.8,54.7,54.5,56.7,52.6
Nerima-ku,13120,57.3,59.7,62,62,61,61.1,54.5
Adachi-ku,13121,42.8,45.2,48.6,48.6,48.3,50.2,46.3
Katsushika-ku,13122,44.7,48.6,53.1,54,54.6,57.3,51.6
Edogawa-ku,13123,43,46.7,52.5,53.3,54,56.4,51.6
