Region,Regional code,1985,1990,1995,2000,2005,2010
Chiyoda-ku,13101,"4,655.40","8,872.60","7,333.50","6,771.70","8,107.20","7,712.60"
Chuo-ku,13102,"3,399.70","6,194.80","5,288.30","5,142.50","5,720.40","5,413.50"
Minato-ku,13103,"4,520.10","7,682.50","6,844.30","7,511.70","9,466.00","9,435.30"
Shinjuku-ku,13104,"3,390.20","5,178.50","5,076.60","4,929.70","5,040.50","4,683.00"
Bunkyo-ku,13105,"3,688.90","6,114.50","5,408.70","5,411.50","5,662.80","5,353.20"
Taito-ku,13106,"3,003.60","4,203.20","4,314.40","4,156.60","4,120.80","3,818.80"
Sumida-ku,13107,"2,572.70","3,531.10","3,778.20","3,664.40","3,628.70","3,478.80"
Koto-ku,13108,"2,622.60","3,701.00","3,943.50","3,810.50","3,836.10","3,859.90"
Shinagawa-ku,13109,"2,951.80","4,296.30","4,292.30","4,330.70","4,436.30","4,192.40"
Meguro-ku,13110,"3,643.90","5,427.90","5,282.20","5,272.80","5,497.10","5,226.00"
Ota-ku,13111,"3,104.40","4,352.70","4,333.10","4,243.20","4,266.60","3,954.40"
Setagaya-ku,13112,"3,741.70","5,634.60","5,280.80","5,206.70","5,221.50","4,971.10"
Shibuya-ku,13113,"3,891.40","6,566.20","6,087.90","6,198.80","7,044.80","6,443.50"
Nakano-ku,13114,"3,193.50","4,376.70","4,400.40","4,263.60","4,125.70","3,854.00"
Suginami-ku,13115,"3,584.30","5,251.90","4,958.20","4,769.80","4,711.20","4,353.80"
Toshima-ku,13116,"2,966.70","4,336.50","4,384.80","4,192.50","4,198.00","4,023.60"
Kita-ku,13117,"2,668.30","3,546.90","3,840.80","3,747.30","3,655.60","3,429.40"
Arakawa-ku,13118,"2,512.00","3,760.20","3,758.80","3,656.60","3,581.60","3,419.60"
Itabashi-ku,13119,"2,818.50","3,800.60","4,062.20","3,918.40","3,787.80","3,501.20"
Nerima-ku,13120,"3,294.70","4,512.70","4,575.30","4,354.50","4,244.70","3,962.10"
Adachi-ku,13121,"2,555.30","3,416.30","3,715.60","3,587.20","3,468.70","3,235.10"
Katsushika-ku,13122,"2,554.90","3,466.90","3,751.60","3,640.50","3,538.90","3,302.70"
Edogawa-ku,13123,"2,667.80","3,628.40","3,851.80","3,768.10","3,709.40","3,468.20"
